id,date_recorded,neo_reference_id,name,nasa_jpl_url,absolute_magnitude_h,estimated_diameter_km_min,estimated_diameter_km_max,is_potentially_hazardous_asteroid,close_approach_data_date,close_approach_data_relative_velocity_kms,close_approach_data_miss_distance,close_approach_data_orbiting_body,is_sentry_object
3092385,2025-03-24,3092385,(2001 TC45),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3092385,19.48,0.3377185972,0.7551617405,True,2025-Mar-24 13:16,22.9949463465,45409849.094259993,Earth,False
3153530,2025-03-24,3153530,(2003 HT42),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3153530,24.8,0.0291443905,0.0651688382,False,2025-Mar-24 21:28,13.4593523451,39809222.198381411,Earth,False
3338369,2025-03-24,3338369,(2006 QS23),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3338369,20.1,0.2538370294,0.5675968529,False,2025-Mar-24 01:18,18.0005428267,31072890.461123428,Earth,False
3714121,2025-03-24,3714121,(2015 FE36),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3714121,23.0,0.0667659413,0.1492931834,False,2025-Mar-24 08:15,11.9838843785,45046064.025093883,Earth,False
3781913,2025-03-24,3781913,(2017 ST17),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3781913,24.82,0.0288771931,0.0645713667,False,2025-Mar-24 11:11,16.9735131674,41287279.851464335,Earth,False
54073343,2025-03-24,54073343,(2020 UC),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54073343,27.59,0.0080640828,0.0180318372,False,2025-Mar-24 21:59,21.8128865534,71877560.597747234,Earth,True
54201815,2025-03-24,54201815,(2021 TO),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54201815,24.26,0.0373727432,0.0835679943,False,2025-Mar-24 06:43,9.0276080751,67106818.326389759,Earth,False
54298776,2025-03-24,54298776,(2022 QU7),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54298776,24.88,0.0280902094,0.0628116177,False,2025-Mar-24 22:13,16.8916504449,66429638.465312173,Earth,False
2620059,2025-03-24,2620059,620059 (2006 QS23),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2620059,20.15,0.2480589932,0.5546767711,False,2025-Mar-24 01:18,18.000544197,31072891.583107453,Earth,False
54354973,2025-03-24,54354973,(2023 HW2),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54354973,25.49,0.0212106988,0.0474285643,False,2025-Mar-24 21:52,24.0269791875,69139169.298549823,Earth,False
54392052,2025-03-24,54392052,(2023 SN11),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54392052,23.78,0.0466181437,0.1042413384,False,2025-Mar-24 03:19,24.0732824596,32288129.340264902,Earth,False
54423318,2025-03-24,54423318,(2024 BA5),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54423318,26.02,0.0166170902,0.0371569432,False,2025-Mar-24 14:39,7.6239479474,37274445.986957636,Earth,False
